District,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
01,2010-11,13104,1173,1025,1016,902,859,905,892,872,817,942,840,1153,977,731,6461,49.3%,6643,50.7%,3035,23.2%,2237,17.1%,5590,42.7%,230,1.8%,2012,15.4%,2323,17.7%,1558,11.9%,9574,73.1%
01,2011-12,13020,1131,958,1025,1016,917,860,886,943,858,836,888,1053,888,761,6493,49.9%,6527,50.1%,3029,23.3%,2251,17.3%,5504,42.3%,205,1.6%,2031,15.6%,2312,17.8%,1512,11.6%,9346,71.8%
01,2012-13,12813,1109,937,942,984,977,907,809,862,908,854,842,1109,812,761,6322,49.3%,6491,50.7%,2944,23.0%,2199,17.2%,5352,41.8%,262,2.0%,2056,16.0%,2459,19.2%,1386,10.8%,9010,70.3%
01,2013-14,12492,985,942,927,882,947,943,858,749,848,898,725,1129,907,752,6167,49.4%,6325,50.6%,2868,23.0%,2162,17.3%,5110,40.9%,307,2.5%,2045,16.4%,2585,20.7%,1306,10.5%,8871,71.0%
01,2014-15,12316,1106,901,934,897,871,920,912,826,743,844,659,983,890,830,6040,49.0%,6276,51.0%,2812,22.8%,2083,16.9%,5039,40.9%,302,2.5%,2080,16.9%,2454,19.9%,1222,9.9%,8617,70.0%
02,2010-11,62283,1385,2963,2869,2684,2527,2383,2488,2282,2334,2295,11210,10868,8453,7542,32638,52.4%,29645,47.6%,14416,23.1%,11803,19.0%,22219,35.7%,1167,1.9%,12678,20.4%,8669,13.9%,7291,11.7%,41653,66.9%
02,2011-12,62319,1394,3107,3002,2782,2652,2516,2373,2441,2286,2331,10391,10610,8666,7768,32574,52.3%,29745,47.7%,14623,23.5%,11347,18.2%,21904,35.1%,1169,1.9%,13276,21.3%,8729,14.0%,6964,11.2%,39673,63.7%
02,2012-13,62757,1321,3287,3116,2928,2700,2645,2477,2316,2411,2283,10523,10042,8652,8056,32990,52.6%,29767,47.4%,14635,23.3%,11054,17.6%,21707,34.6%,1497,2.4%,13864,22.1%,9036,14.4%,6704,10.7%,39698,63.3%
02,2013-14,62741,1348,3113,3213,3031,2852,2665,2608,2406,2325,2473,9994,10030,8415,8268,32842,52.3%,29899,47.7%,14688,23.4%,10796,17.2%,21226,33.8%,1731,2.8%,14300,22.8%,9506,15.2%,6361,10.1%,38972,62.1%
02,2014-15,62854,1642,3139,3068,3086,2901,2845,2584,2494,2390,2319,10124,9706,8599,7957,32917,52.4%,29937,47.6%,14595,23.2%,10299,16.4%,21067,33.5%,2039,3.2%,14854,23.6%,9502,15.1%,5922,9.4%,37618,59.8%
